miRNA_id	A1	B1	A2	B2	A3	C1	C2	length
miRNA0327	5	0	2	0	2	0	1	21
miRNA0328	6712	2368	7662	1746	6626	2571	5364	21
miRNA0329	0	0	0	0	0	0	0	21
miRNA0330	0	0	0	0	0	0	0	21
miRNA0331	0	0	0	0	0	0	0	21
miRNA0332	0	0	0	0	2	0	0	21
miRNA0333	0	0	0	0	0	0	0	21
miRNA0334	0	0	0	0	0	0	0	21
miRNA0335	5	4	5	0	0	3	8	21
miRNA0336	465	405	433	209	456	416	558	21
miRNA0337	1	0	3	1	1	0	2	21
miRNA0338	0	0	1	0	0	0	0	21
miRNA0339	207	43	192	46	140	0	0	21
miRNA0340	61	9	71	10	57	0	0	21
miRNA0341	803	1309	992	1571	537	3903	6584	21
miRNA0342	605	856	861	502	297	653	1076	21
miRNA0343	797	1291	987	1565	527	3891	6556	21
miRNA0344	1	5	1	3	4	2	12	21
miRNA0345	1016	61	1466	81	700	22	67	21
miRNA0346	4	0	15	0	4	0	0	21
miRNA0347	2611	184	3061	207	1350	286	985	21
miRNA0348	262	18	501	17	217	52	83	21
miRNA0349	0	0	0	0	1	0	0	21
miRNA0350	0	1	0	0	0	0	0	21
miRNA0351	2	1	0	0	1	0	5	21
miRNA0352	0	0	0	0	0	0	0	21
miRNA0353	7	6	4	5	10	2	9	21
miRNA0354	0	0	0	0	0	0	0	21
miRNA0355	0	0	0	0	0	2	0	21
miRNA0356	0	0	0	0	0	0	0	21
miRNA0357	0	0	0	0	0	0	0	21
miRNA0358	0	0	0	0	0	0	0	21
miRNA0359	121	84	84	97	80	549	1733	21
miRNA0360	0	0	1	0	0	1	3	21
miRNA0361	0	0	0	0	0	1	2	21
miRNA0362	0	1	0	0	0	10	50	21
miRNA0363	0	0	0	0	2	0	0	21
miRNA0364	2	9	4	9	2	2	0	21
miRNA0365	930271	2848896	688981	2555548	921212	32403	77504	21
miRNA0366	186	7	177	2	67	1	11	21
miRNA0367	0	0	0	0	0	0	0	21
miRNA0368	0	0	0	0	0	0	0	21
miRNA0369	0	0	0	0	0	0	0	21
miRNA0370	0	0	0	1	0	0	0	21
miRNA0371	0	26	0	36	1	0	1	21
miRNA0372	0	0	0	0	0	0	0	21
miRNA0373	70	15	205	20	65	77	83	21
miRNA0374	37092	4252	68108	2867	34481	1611	1669	21
miRNA0375	0	0	0	0	0	0	1	21
miRNA0376	183	14	142	5	90	2	4	21
miRNA0377	388	55	578	11	309	11	5	21
miRNA0378	891435	242424	961064	138650	726590	5314	8286	21
miRNA0379	141	1312	141	1178	94	36	54	21
miRNA0380	16	60	27	33	8	2	1	21
miRNA0381	0	0	0	0	0	0	0	21
miRNA0382	0	0	0	0	0	0	0	21
miRNA0383	15	2	15	2	11	9	7	21
miRNA0384	14	3	8	1	8	6	3	21
miRNA0385	0	0	1	0	0	0	0	21
miRNA0386	0	0	0	0	0	0	0	21
miRNA0387	0	0	0	0	0	0	0	21
miRNA0388	0	0	0	0	0	0	0	21
miRNA0389	0	0	0	0	0	0	0	21
miRNA0390	0	0	0	0	0	0	0	21
miRNA0391	0	0	0	0	0	0	0	21
miRNA0392	10	7	3	4	1	4	2	21
miRNA0393	0	0	0	0	0	0	0	21
miRNA0394	0	0	0	0	0	0	0	21
miRNA0395	0	0	0	0	0	0	0	21
miRNA0396	0	0	0	0	0	0	0	21
miRNA0397	0	0	0	0	0	0	0	21
miRNA0398	0	0	1	0	0	0	0	21
miRNA0399	0	0	0	0	0	0	0	21
miRNA0400	0	0	0	0	0	0	0	21
miRNA0401	77	59	93	55	45	620	293	21
miRNA0402	24	41	81	17	21	18	75	21
miRNA0403	0	0	0	0	0	0	0	21
miRNA0404	0	0	0	0	0	0	0	21
miRNA0405	0	0	0	0	0	0	0	21
miRNA0406	0	0	0	0	0	0	0	21
miRNA0407	1776	145	562	251	407	331	361	21
miRNA0408	10	6	2	0	2	3	5	21
miRNA0409	0	0	0	0	0	0	0	21
miRNA0410	0	0	0	0	0	0	0	21
miRNA0411	0	0	0	0	0	0	0	21
miRNA0412	0	0	0	0	0	0	0	21
miRNA0413	0	0	0	0	0	0	0	21
miRNA0414	230	72	59	63	47	50	54	21
miRNA0415	0	0	0	0	0	0	0	21
miRNA0416	0	0	0	0	0	0	0	21
miRNA0417	0	0	0	0	0	0	0	21
miRNA0418	10	4	10	18	11	5	16	21
miRNA0419	0	0	0	0	0	0	0	21
miRNA0420	0	0	0	0	0	0	0	21
miRNA0421	0	0	0	0	1	0	0	21
miRNA0422	0	0	0	1	0	7	7	21
miRNA0423	0	0	0	0	0	0	0	21
miRNA0424	0	0	0	0	0	0	0	21
miRNA0425	0	0	0	0	0	1	1	21
miRNA0426	12	5	13	6	9	11	39	21
miRNA0427	0	0	0	0	0	0	0	21
miRNA0428	0	0	0	0	0	0	0	21
miRNA0429	0	0	0	0	0	0	0	21
miRNA0430	0	0	0	0	0	0	0	21
miRNA0431	27	3	25	0	29	4	3	21
miRNA0432	11	2	18	0	4	2	5	21
miRNA0433	3331	4058	6820	4815	4277	6319	13323	21
miRNA0434	1117	491	1275	815	1020	437	987	21
miRNA0435	0	0	0	0	0	0	0	21
miRNA0436	0	0	0	0	0	0	0	21
miRNA0437	2233	242	2819	265	2262	458	896	21
miRNA0438	503	19	778	25	546	609	468	21
miRNA0439	1492	77	2293	76	1267	349	489	21
miRNA0440	301	10	375	7	301	105	51	21
miRNA0441	0	0	0	0	0	3	11	21
miRNA0442	0	0	0	0	0	0	1	21
miRNA0443	0	0	0	1	0	1	2	21
miRNA0444	76	91	76	50	70	135	470	21
miRNA0445	10632	3443	9137	6157	6472	7516	21092	21
miRNA0446	46	1	33	2	25	27	40	21
miRNA0447	4159	4702	4680	5951	2655	13442	29499	21
miRNA0448	11	1	41	2	19	11	20	21
miRNA0449	88037	52454	195155	54989	81203	181476	309277	21
miRNA0450	2969	1937	6036	1456	3554	499	1025	21
miRNA0451	5698	671	2484	647	2898	1465	2509	21
miRNA0452	9	0	15	0	3	2	2	21
miRNA0453	25	4	25	6	11	2	26	21
miRNA0454	1449	1102	2072	1966	918	35977	104291	21
miRNA0455	20	4	27	5	10	18	36	21
miRNA0456	1704	383	2751	805	1257	6582	23791	21
miRNA0457	9294	3353	10848	2041	7758	1187	2532	21
miRNA0458	2481	121	1784	75	1955	763	1425	21
miRNA0459	12036	8670	13247	7442	8924	9818	20371	21
miRNA0460	793	150	1066	140	909	251	354	21
miRNA0461	2968	1065	2173	620	3125	648	1142	21
miRNA0462	508	380	1076	483	744	425	533	21
miRNA0463	0	0	0	0	0	0	0	21
miRNA0464	0	0	0	0	0	0	0	21
miRNA0465	0	0	0	0	0	0	0	21
miRNA0466	0	0	0	0	0	0	0	21
miRNA0467	0	0	0	0	0	0	0	21
miRNA0468	0	0	0	0	0	0	0	21
miRNA0469	0	0	0	0	0	0	0	21
miRNA0470	0	0	0	0	0	0	0	21
miRNA0471	0	1	0	0	0	0	0	21
miRNA0472	0	0	0	0	0	0	0	21
miRNA0473	0	0	0	0	0	0	0	21
miRNA0474	0	0	0	0	0	0	0	21
miRNA0475	1	0	0	0	1	0	0	21
miRNA0476	0	0	0	0	0	0	0	21
miRNA0477	105	9	75	4	89	2	1	21
miRNA0478	24	8	9	14	4	3	4	21
miRNA0479	18	2	30	1	22	0	0	21
miRNA0480	19	4	30	2	21	0	0	21
miRNA0481	7	1	4	0	0	0	4	21
miRNA0482	5	0	2	0	0	0	1	21
miRNA0483	0	1	0	0	0	0	0	21
miRNA0484	6	1	9	1	5	1	1	21
miRNA0485	0	0	4	0	0	0	0	21
miRNA0486	7	6	8	3	7	0	0	21
miRNA0487	5	21	5	5	7	228	353	21
miRNA0488	12	9	3	2	2	98	437	21
miRNA0489	12881	4200	14733	3495	8126	5209	9262	21
miRNA0490	1462	106	1632	110	1138	40	94	21
miRNA0491	6637	2395	24052	1795	7082	192	414	21
miRNA0492	11	0	5	1	6	4	9	21
miRNA0493	72	28	35	15	44	111	299	21
miRNA0494	26	2	15	2	13	19	43	21
miRNA0495	42	402	38	76	72	415	588	21
miRNA0496	1	2	0	0	0	5	6	21
miRNA0497	409	125	634	139	249	86	221	21
miRNA0498	27	2	26	5	15	1	0	21
miRNA0499	81	37	95	23	55	0	2	21
miRNA0500	3	0	3	0	0	0	0	21
miRNA0501	0	0	0	0	0	0	0	21
miRNA0502	0	0	0	0	0	0	0	21
miRNA0503	0	0	0	0	0	0	0	21
miRNA0504	0	0	0	0	0	0	0	21
miRNA0505	0	0	0	0	0	0	0	21
miRNA0506	0	0	0	0	0	0	0	21
miRNA0507	0	0	0	0	0	0	0	21
miRNA0508	0	0	0	0	0	0	0	21
miRNA0509	2615	977	1611	1062	1530	1684	2110	21
miRNA0510	11838	9918	8622	8261	5508	8090	21013	21
miRNA0511	1	0	1	0	1	0	0	21
miRNA0512	2308	348	3320	374	1478	3337	11432	21
miRNA0513	528	120	498	88	345	212	300	21
miRNA0514	5127	1484	8935	1467	3203	5607	17585	21
miRNA0515	52	6	30	2	11	9	24	21
miRNA0516	8857	2389	7921	3443	4214	13653	27011	21
miRNA0517	3608	644	2146	656	2269	1115	1775	21
miRNA0518	8323	4069	8433	4054	5690	4815	14083	21
miRNA0519	178	18	108	19	39	0	1	21
miRNA0520	2459	1442	10024	1946	1832	55	25	21
miRNA0521	11	1	12	0	10	0	2	21
miRNA0522	229	172	415	139	200	83	291	21
miRNA0523	483	75	593	91	407	1521	1622	21
miRNA0524	0	0	0	0	0	2	8	21
miRNA0525	37	136	107	176	59	32	18	21
miRNA0526	1729	1467	2956	1161	1899	394	596	21
miRNA0527	0	4	2	1	0	5	18	21
miRNA0528	0	0	1	0	0	0	0	21
miRNA0529	81	13	144	14	62	42	42	21
miRNA0530	57	18	63	21	42	11	46	21
miRNA0531	0	0	0	0	0	0	0	21
miRNA0532	0	0	0	0	0	0	0	21
miRNA0533	2	1	5	1	2	50	85	21
miRNA0534	0	0	0	0	0	0	0	21
miRNA0535	0	0	0	0	0	0	0	21
miRNA0536	0	0	0	0	0	0	0	21
miRNA0537	59	111	36	114	11	240	457	21
miRNA0538	3	0	0	1	0	0	0	21
miRNA0539	23	30	25	19	4	206	818	21
miRNA0540	5	2	2	5	2	57	117	21
miRNA0541	4	2	5	0	4	4	12	21
miRNA0542	11	16	13	14	6	2	11	21
miRNA0543	36	16	73	28	33	87	102	21
miRNA0544	30	21	19	15	29	23	61	21
miRNA0545	31	3	18	4	29	5	13	21
miRNA0546	16	4	21	1	17	3	3	21
miRNA0547	1254	38	1448	13	956	115	398	21
miRNA0548	753	1608	1604	2417	903	2904	4089	21
miRNA0549	1	5	4	0	2	21	81	21
miRNA0550	0	0	0	0	0	6	3	21
miRNA0551	25	1	23	0	19	61	172	21
miRNA0552	52	1	27	1	45	120	170	21
miRNA0553	30	14	48	19	15	30	44	21
miRNA0554	75	60	113	54	51	54	119	21
miRNA0555	13	2	32	10	19	28	30	21
miRNA0556	88	11	170	31	118	53	126	21
miRNA0557	1	11	2	1	2	16	30	21
miRNA0558	0	0	0	0	0	0	0	21
miRNA0559	1345	464	2639	357	1663	1613	1680	21
miRNA0560	393	43	384	22	350	129	145	21
miRNA0561	0	0	0	0	0	0	0	21
miRNA0562	0	0	0	0	0	0	0	21
miRNA0563	5	5	8	1	5	1	0	21
miRNA0564	0	0	0	0	0	0	0	21
miRNA0565	867	101	704	88	827	131	155	21
miRNA0566	218	22	277	34	129	79	235	21
miRNA0567	0	0	0	0	0	0	0	21
miRNA0568	0	0	0	0	0	0	0	21
miRNA0569	1	0	1	0	1	1	0	21
miRNA0570	36	29	59	26	36	6	29	21
miRNA0571	66	70	66	57	53	8	17	21
miRNA0572	46	63	77	43	51	2	5	21
miRNA0573	43	95	72	56	46	3	1	21
miRNA0574	6132	7740	9454	5188	7148	298	247	21
miRNA0575	342	53	397	84	145	63	302	21
miRNA0576	18	7	41	4	31	5	3	21
miRNA0577	57	27	120	22	99	2	3	21
miRNA0578	355	232	323	197	191	13	13	21
miRNA0579	22	5	36	8	14	16	30	21
miRNA0580	232	42	455	89	247	257	544	21
miRNA0581	172	38	144	161	119	48	170	21
miRNA0582	3594	436	6026	443	5079	907	1002	21
