Gene_id	A1	B1	A2	B2	length
G07114	16	56	94	10	1800
G07115	306	581	932	75	4329
G07116	739	1107	2500	222	450
G07117	0	2	7	0	924
G07118	11075	7945	31970	3821	483
G07119	4116	3521	15420	1677	189
G07120	1476	1470	3872	881	573
G07121	7611	11546	27414	2858	1749
G07122	29	53	117	29	1176
G07123	561	479	1139	85	1239
G07124	635	585	2303	240	1374
G07125	146	124	410	22	543
G07126	4418	3687	18429	1966	534
G07127	612	1047	1501	236	2928
G07128	181	397	459	117	210
G07129	480	787	1409	243	1797
G07130	532	628	1746	157	1794
G07131	138	208	468	50	1539
G07132	343	463	1254	125	1953
G07133	3	5	7	0	570
G07134	9	10	30	0	1221
G07135	2	2	11	1	1029
G07136	172	237	416	77	888
G07137	125	91	309	52	378
G07138	2735	3709	8039	736	2280
G07139	3022	4779	11747	886	1347
G07140	0	1	4	0	279
G07141	99	183	306	39	507
G07142	222	208	815	82	876
G07143	433	463	2143	203	2103
G07144	475	707	1650	250	1890
G07145	41	124	123	19	1011
G07146	986	1461	2988	366	3564
G07147	49	57	191	22	300
G07148	358	694	1294	148	3618
G07149	8	15	35	4	1212
G07150	308	624	1714	216	1473
G07151	463	401	2141	146	1233
G07152	11853	5562	42107	4450	561
G07153	31	53	72	12	738
G07154	164	281	605	66	1038
G07155	1061	1056	3756	406	726
G07156	256	444	972	92	1311
G07157	9468	17658	18400	3804	729
G07158	1313	2196	2445	457	564
G07159	3464	6945	7188	1270	2112
G07160	890	696	1811	602	388
G07161	556	881	1636	279	1935
G07162	0	1	1	1	360
G07163	44	60	70	7	2277
G07164	1011	1853	2521	385	2082
G07165	709	953	2426	192	1200
G07166	107	203	426	41	2226
G07167	6001	7825	24275	2607	2721
G07168	1101	1325	3671	388	366
G07169	302	253	1101	77	369
G07170	335	383	1931	132	2619
G07171	344	520	663	137	1056
G07172	998	1193	2542	305	285
G07173	2043	2318	5067	800	540
G07174	1	4	2	0	1329
G07175	0	3	5	0	831
G07176	76	100	271	33	2142
G07177	0	6	2	0	1746
G07178	45	42	90	12	2673
G07179	215	422	615	94	1827
G07180	514	272	1748	143	1191
G07181	100	211	787	100	1596
G07182	32	100	120	12	1131
G07183	132	219	190	42	3651
G07184	25	54	55	21	1023
G07185	459	614	1318	310	837
G07186	153	372	443	85	1938
G07187	0	5	3	1	795
G07188	6	0	8	0	351
G07189	51	132	161	32	2364
G07190	1	2	6	1	1293
G07191	22	41	263	27	3786
G07192	21	29	58	7	1200
G07193	20	38	19	16	954
G07194	1	4	1	1	2043
G07195	5	9	24	2	252
G07196	0	0	0	0	279
G07197	124	264	127	35	1074
G07198	5	11	14	8	1671
G07199	7	28	11	4	3846
G07200	15	57	39	4	1380
G07201	0	1	0	0	576
G07202	2	4	1	1	1437
G07203	1	2	1	0	1713
G07204	0	2	1	0	894
G07205	4	18	3	0	639
G07206	72	157	235	40	1668
G07207	8	29	44	13	711
