Gene_id	A1	A2	B1	B2	A3	B3	length
G000915	150	191	477	374	144	406	5935.5
G000916	1	0	0	0	0	0	1966.5
G000917	492	795	2004	1591	1117	1665	2029
G000918	104	38	23	0	62	56	599
G000919	4719	5298	1555	1390	7358	1299	668
G000920	180	263	127	42	183	205	757.5
G000921	261	233	427	315	388	436	1622
G000922	6403	7640	6682	5751	6000	8205	2088
G000923	166	31	416	185	159	149	1738.5
G000924	332	494	575	518	464	943	694.5
G000925	498	451	438	481	495	530	3462
G000926	1939	2506	1851	1580	1550	2380	614.5
G000927	1078	1050	2625	2009	1825	1780	1568.5
G000928	666	672	432	257	615	318	2370.5
G000929	3101	4210	4506	3432	5211	4033	776
G000930	593	613	771	867	956	742	3514
G000931	531	739	384	481	547	570	753
G000932	0	1	0	0	0	0	1460
G000933	1587	1792	3248	2496	4121	2809	7673
G000934	346	382	644	405	563	641	768
G000935	4	0	0	0	0	5	1118
G000936	106	83	58	72	65	65	1047.5
G000937	57	148	225	243	128	112	778
G000938	0	0	0	0	0	0	2663
G000939	48	16	26	0	63	5	2187
G000940	598	575	830	399	852	772	743
G000941	2833	4148	1591	1314	4218	1352	587
G000942	233	207	553	331	206	510	2081
G000943	950	971	1486	1081	1053	1613	755
G000944	1115	1023	1813	1149	1330	1479	2394
G000945	2708	3121	5587	5188	3470	5286	1265.5
G000946	0	0	10	0	18	11	603.5
G000947	264	267	615	315	460	482	2676
G000948	13504	15954	16349	13744	17090	23699	1473
G000949	196	124	105	145	222	52	4486
G000950	953	1205	1181	1015	1225	960	1272
G000951	563	451	34	1	494	31	613
G000952	2050	2326	3576	2761	2470	3560	3765
G000953	15	6	7	17	0	0	805
G000954	2779	3007	3917	2214	4529	2835	2486.5
G000955	1820	1778	3108	1880	2157	2240	881
G000956	1167	871	1251	804	1507	1056	852
G000957	937	1017	1709	1551	1312	1761	1239
G000958	87	18	11	25	0	0	1137.5
G000959	43	12	9	42	53	6	2504
G000960	0	0	0	0	0	0	628.5
G000961	962	1509	4512	3039	1996	3512	5195.5
G000962	0	0	0	0	0	1	1107
G000963	1796	2075	1592	858	1972	1519	830
G000964	27	4	2	0	1	1	1229
G000965	330	465	291	338	350	526	748.5
G000966	0	19	121	79	123	113	917
G000967	0	15	7	0	15	0	2735
G000968	910	1095	1544	1177	1799	1011	2115
G000969	225	301	409	397	318	509	911
G000970	507	606	718	598	959	799	2418
G000971	138	236	104	0	290	63	2864
G000972	424	411	910	543	599	783	2884
G000973	281	367	617	548	271	614	687.5
G000974	8	14	0	0	0	0	582
G000975	353	381	457	342	467	548	758
G000976	905	984	1957	1340	1207	1914	4122
G000977	897	1436	2143	1760	1214	2545	786
G000978	0	1	0	15	2	8	6181.5
G000979	408	385	586	280	843	480	522
G000980	952	938	1718	1473	1496	1038	1976.5
G000981	0	0	0	0	0	0	1843
